No.,Question,Correct Answer
1,__________ use policies and procedures to outline rules outline courses of action to deal with problems.,Organization
2,__________ use policies and procedures to outline rules outline courses of action to deal with problems.,Organization
3,___________ teaches impulse control and helps individuals develop a conscience.,Socialization
4,"_______________ of the Labor Code of the Philippines (LCP) describes different types of employment namely: regular, casual, project or seasonal.",Article 280
5,"_______________ of the Labor Code of the Philippines (LCP) describes different types of employment namely: regular, casual, project or seasonal.",Article 280
6,"""'For my thoughts are not your thoughts, neither are your ways my ways,' declares the Lord""",Isaiah 55:8
7,"A common domestic-partner benefit is access to family dental insurance, but that benefit is considered taxable income by the federal government.",False
8,A common workplace __________________ involves a manager and his or her employee who are married or dating and have a relationship.,Conflict of Interest
9,"A good professional partnership is not only powerful and long lasting, but highly supportive as well.",Be Supportive
10,A man who did something to help others but it is against his will is not considered good. This is an example of _________.,Deontology
11,"A moral principle is a categorical imperative that is universalizable; that is, it must be applicable for everyone who is in the same moral situation.",True
12,A notable difference between minor and gross professional misconduct is the respective level of sanctions that can be applied in each case.,True
13,A patent claim can be cancelled if it adheres to the public order,False
14,A patent must not be obvious to the general public,False
15,"A professional was someone who derived their income from their expertise or specific talents, as opposed to a hobbyist or amateur.",True
16,A provider of service should first inquire the customer before an action of service should be done. This statement shows _______.,Autonomy
17,"A set of legal rights which result from intellectual activity in the industrial, scientific, literary, and artistic fields is called",intellectual property
18,"A sociologist who wrote a paper ""Broad and Narrow Socialization: The Family in the Context of a Cultural Theory""",Jeffrey J Arnett
19,"A/an ____________may reveal client confidences and secrets, to the extent reasonably necessary",Lawyer
20,"According to this theory actions are judged according on the results. For example, a person kills one person to prevent the deaths of others.",Consequentialism
21,Actions taken by members of a profession must not be consistent with the values set out in the profession's code of ethics.,False
22,adaptations,Derivative w orks
23,Adult women and girls account for 71 percent of all human trafficking victims detected globally.,True
24,AIs are able to automating parts of people‘s jobs and it wont affect the employment rate in a company,False
25,AIs are software programs that are vulnerable to attack just like all software,True
26,AIs have the capacity to perform better than the world best experts at many tasks already and are making the world healthier,Performance
27,All employees in all establishments and undertakings whether for profit or not are entitled to overtime pay for work rendered beyond eight (8) hours,True
28,All of the statements are true about the first requirement of a Patent Work except:,It must serve a basic purpose
29,All stakeholders should be able to understand the rationale and be able to live with the decision.,True
30,All Utilitarians would abide by the principle of producing the most good with the least harm,True
31,"Among women who experienced medical complications during pregnancy or delivery, only one in three received the care they or their newborns needed.",True
32,An AI can achieve its goal without going through consequences,True
33,An employee's prime responsibility is to place the ______________ interest above their own personal interests,Public
34,"An employer commits sexual harassment when a sexual favor is made as a condition for hiring and for continued employment or reemployment. (Section 3, RA 7877)",Anti-sexual Harassment law
35,"An employer commits sexual harassment when a sexual favor is made as a condition for hiring and for continued employment or reemployment. (Section 3, RA 7877)",Anti-sexual Harassment law
36,"An enthusiastic and informal answer simply won't work for a formal and annoyed customer, even if it's correct.",Communication Skills
37,An example of a conflict of interest would be a board member voting on the induction of lower premiums for companies with fleet vehicles when he is the owner of a truck company outside of the corporation.,False
38,"An individual is not responsible for his/her own happiness, emotional well-being, intellectual development and career satisfaction.",False
39,Another important aspect to reflect upon are the various individuals and groups who may be affected by your decision. Consider who might be harmed or who might benefit.,Consider the parties involved
40,Any pregnant woman employee who has worked with the company for at least six months will be granted____________ of at least two weeks prior to her due date (expected date of delivery) and four weeks after normal delivery or miscarriage with full pay based on her regular salary.,Maternity Leave
41,"As a legal term, secrecy refers to a duty of an individual to refrain from sharing confidential information with others, except with the express consent of the other party",False
42,"As humans tend to follow a life script, an individual's reaction to certain rules of conduct is always intentional.",False
43,"As soon as the minor incident has been brought to attention, it is the duty of the maintenance and secretary to carry out a fact-finding investigation.",False
44,"As the social network grows, it tends to lose the nuances of a local system So in order to maintain the qualities of network properties, one must take note of the size",True
45,"As you mature in your career, so should your voice.",True
46,"As you mature in your career, so should your voice.",True
47,"Attending social business mixers, sending an email just to catch up, or giving them a call to congratulate them on a promotion.",Stay Connected
48,"Before taking action, it is a good idea to make sure that you have gathered all of the pertinent information, and that all potential sources of information have been consulted.",Gather all the relevant information
49,Being able to maintain politeness and control even when dealing with distraught patients is not a valuable skill.,False
50,"Both the sender and the receiver each have a pair of keys, one public and one private",asymmetric encryption
51,Breaching confidentiality is considered professional misconduct.,True
52,Building strong business relationships can be an effective way to decrease your chances of success in the business world.,False
53,"By providing increased access and flexibility in employee benefits, employers can not only recruit but retain qualified employees.",True
54,"By providing increased access and flexibility in employee benefits, employers can only recruit but not retain qualified employees",False
55,Coded Messages,Cryptography
56,Codes can help provide the pride of belonging to a group or a profession.,Codes of ethics can function as a professional statement
57,Codes can help provide the pride of belonging to a group or a profession.,Codes of ethics can function as a professional statement
58,"Codes of Ethics are designed to anticipate and prevent certain specific types of behavior; e.g. conflict of interest, self-dealing, bribery, and inappropriate actions.",False
59,"Competence means attaining and maintaining an adequate level of knowledge and skill, and application of that knowledge and skill in providing services to clients.",True
60,computer programs,Original w orks
61,Confidential information is regularly handled by the following except:,House
62,Confidentiality is the keeping of another person or entity's information public,False
63,Conventional ethical relativism supports the view that the truth of moral principles is relative to beliefs.,False
64,Creating weak business connections can be easier said than done if you don't cultivate and nurture the relationship.,False
65,creative works,Copyright
66,Critics of the labor rights movement claim that regulation promoted by labor rights activists may limit opportunities for work.,True
67,Dating violence is violence by a person who is or has been in a social relationship of a romantic or intimate nature with the victim.,Dating Violence
68,Dental and optical care might be offered as part of an overall medical insurance package.,True
69,Deontology is based from the work of this philosopher.,Immanuel Kant
70,Deontology is based from the work of this philosopher.,Immanuel Kant
71,Determinative Laws fixes ways of acting in accordance with natural law.,True
