No.,Question,Correct Answer
1,___________ is probably the most important phase forlong-term support as well as for the reputation of the company.,Testing
2,______________ measures the ability of a regression test selection technique to handle realistic applications.,Generality
3,"________________ is the ability to encourage by ""push or pull"" technical people to produce to their best ability.",Motivation
4,__________________ documents show the behavior or functionality of a software product on an abstract level.,Functional specification
5,.NET are specific to which platform?,Microsoft
6,“An ordering system may be adapted to cope with a centralized ordering process in one company and a distributed process in another.” Which category the example belong to?,Process specialization
7,“Software engineers should not use their technical skills to  other people’s computers.”Here the term  refers to:,All of the mentioned
8,“Software engineers should not use their technical skills tomisuseother people’s computers.” Here the termmisuserefers to:,All of the mentioned
9,A ___________is an executable instruction. It may have one ormore parameters.,"Command Prompt , Command"
10,A 66.6% risk is considered as,high
11,"A company is developing an advance version of their current software available in the market, what model approach would they prefer ?",Both RAD & Iterative Enhancement
12,"A field studying computers and algorithmic processes, including their principles, their software and hardware designs, their applications, and their impact on society, whereas IS emphasizes functionality over design.",Computer information system
13,A good decomposition of a problem shouldinteractions among various components.,FALSE
14,"A project’s duration might be just one week or it might go on for years, but every project has an end date.",A project is temporary
15,"A research title must not come from personal experience, an article read, a scene witnessed or news heard for it will invalidate the study.",False
16,"A temporary endeavor undertaken to create a unique product, service, or result.",Project
17,Acceptance testing is also known as,Beta testing
18,"Acknowledgement sheet should be placed immediately after the title page. Generally, it contains statements of recommendation and acceptance.",False
19,"After defining architecture, software components and their interfaces, the next phase of development is the creation of __________________.",design documents
20,Age is considered as what type of research question.,Factor-Isolating Questions
21,"Allentities involved in the solution design are known as __________.For example, person, banks, company,and customers are treated as objects.",Objects
22,Alpha testing is done at,Developer’s end
23,"An ________________ process simplifies verification. If you develop software by adding small increments of functionality, then, for verification, you only need to deal with the added portion",Incremental Development
24,An independent relationship must exist between the attribute that can be measured and the external quality attribute,False
25,areabsolutely necessary to achieve a good quality software cost effectively.,FALSE
26,Arrange the given sequence to form a SRS Prototype outline as per IEEE SRS Standard.,"ii, i, v, iv, iii"
27,Arrange the given sequence to form a SRS Prototype outline as per IEEE SRS Standard.  i. General description ii. Introduction iii. Index iv. Appendices v. Specific Requirements,"ii, i, v, iv, iii"
28,"As per an IBM report, “31%of the project get cancelled before they are completed, 53% overrun their cost estimates by an average of 189% and for every 100 projects, there are 94 restarts”.What is the reason for these statistics ?",Lack of adequate training in software engineering
29,Asking the level of performance is considered as?,Factor-relating questions
30,Asoftware is always made to perform some rationalwork. This rational work is known as problem in the softwareparlance.,Top-down analysis
31,"Before you start selling any software product,it is officially released. This means that you create a state of the softwarein your repository, make sure that it has been tested for functionality andfreeze the code.",Software Releases
32,Behavioral testing is,Black box testing
33,Beta testing is done at,User’s end
34,Boundary value analysis belong to?,Black Box Testing
35,Build & Fix Model is suitable for programming exercises of ___________ LOC (Line of Code).,100-200
36,Characteristics of a good software: (select all correct answers),"Operational, Maintenance, Transitional"
37,"Choice of a particularoperating system may be made depending upon, except:",Development type
38,Choose the correct option from given below:,Both RAD & Prototyping Model facilitates reusability of components
39,Choose the correct option in terms of Issues related to professional responsibility,Both Confidentiality & Intellectual property rights
40,"Company has latest computers and state-of the- art software tools, so we shouldn’t worry about the quality of the product.",False
41,"Consider the example and categorize it accordingly, “A pattern-matching system developed as part of a text-processing system may be reused in a database management system”.",Component reuse
42,Consider the following Statement: “The data set will contain an end of file character.”What characteristic of SRS is being depicted here ?,Non-verifiable
43,Consider the following Statement: “The output of a program shall be given within 10 secs of event X 10% of the time.”What characteristic of SRS is being depicted here ?,Verifiable
44,Consider the following Statement: “The product should have a good human interface.”What characteristic of SRS is being depicted here ?,Non-Verifiable
45,"considered to be a collection of executable programming code,associated libraries and documentations.",software
46,COTS product reuse means,Systems are developed by configuring and integrating existing application systems
47,COTS stands for,Commercial Off-The-Shelf systems
48,During the Defense which of the following must be done last?,Evaluation
49,During the Defense which of the following the researchers must do first?,Orientation from the chairman of the panel
50,"During the implementation process, developers must write enough comments inside the code so that if anybody starts working on the code later on, he/she is able to understand what has already been written.",True
51,"Duringthis stage, the software design is realized as a set of programs or programunits",Implementation and unit testing
52,Editors are the core development tools because they convert source code to executable form.,False
53,Efficiency in a software product does not include ________,licensing
54,"Every project should have awell-defined objective. For example, many people hire firms to design and build a new house, but each house, like each person, is unique.",A project has a unique purpose.
55,"Every time a new software is issued to the customer, developers have to maintain version and configuration related documentation.",Version Management
56,Exhaustive testing is,impractical but possible
57,Explain what is meant by  with reference to one of the eight principles as per the ACM/IEEE Code of Ethics ?,Software engineers shall ensure that their products and related modifications meet the highest professional standards possible
58,Explain what is meant byPRODUCTwith reference to one of the eight principles as per the ACM/IEEE Code of Ethics,software engineers shall ensure that their products and related modifications meet the highest professional standards possible
59,he most significant factorin determining which software engineering methods and techniques are mostimportant is the that is being developed.,TRUE
60,How is Incremental Model different from Spiral Model?,Progress can be measured for Incremental Model
61,How is WINWIN Spiral Model different from Spiral Model?,It defines a set of negotiation activities at the beginning of each pass around the spiral
62,Identify an ethical dilemma from the situations mentioned below:,Your employer releases a safety-critical system without finishing the testing of the system
63,Identify the correct statement with respect to Evolutionary development:,"Evolutionary development usually has two flavors; exploratory development, and throw-away prototyping"
64,Identify the correct statement: “Software engineers shall,act consistently with the public interest.”
65,Identify the disadvantage of Spiral Model.,Doesn’t work well for smaller projects
66,Identify the sub-process of process improvement,Process analysis
67,"If the different sub components are interrelated, thenthe different components cannot be solved separately and the desiredin complexity will not be realized.",TRUE
68,"If the were not based onscientific and engineering concepts, it would be easier to re-create newsoftware than to scale an existing one.",TRUE
69,"If you were a lead developer of a software company and you are asked to submit a project/product within a stipulated time-frame with no cost barriers, which model would you select?",RAD
70,"If you were to create client/server applications, which model would you go for?",Concurrent Model
71,"If you were to create client/server applications, which model would you go for? a) WINWIN Spiral Model",Concurrent Model
72,"Ifany of the hardware and/or platform (such asoperating system) of the target host changes, software changes areneeded to keep adaptability.",Host Modifications
73,"Ifthere is any business level change at clientend, such as reduction of organization strength, acquiring anothercompany, organization venturing into new business, need to modify in the originalsoftware may arise.",Organization Changes
74,implies that a problem can be simplified by omitting irrelevant details.,abstraction
75,"In ________________, the system comprises of many smaller sub-systems known as functions.",function-oriented design
76,"In almost all serious software development projects, a revision or version control system is used. This version control system keeps a record of changes in source code files and is usually built in a tree-like structure.",Branches
77,"In industry, software engineering is usually needed todevelop large programs to accommodate functions.",FALSE
78,"In OOD, the attributes (data variables) and methods(operation on the data) are bundled together is called _________________.",Encapsulation
79,"In this part of thesis writing, important terms used in the study must be defined clearly. Some of these terms appear in the thesis title, statement of the problem, paradigm of the study, and in the scope and delimitation.",Definition of Terms
80,"Inreference with top-down analysis, _________________ sub-divides the modules into further smaller units of code.",Structured Coding
81,Inspections and testing are what kinds of Quality Costs?,Prevention
82,is a tentative prediction about the relationship between two or more variables in a population under the study.,Hypothesis
83,"It  is anexecutable code, which serves some computational purpose.",program
84,It implies separating software into components according to functionality and responsibility.,Modularity
85,It is a conceptualization of problem into several well-organized elementsof solution,Structured design
86,It is a process done in some projects to carry outa test for a longer period of time. This type of testing is used to determinebehavior of a product when used continuously over a period of time,Regression or Stress Testing
87,It is a process to conceptualize the software requirements into softwareimplementation.,Software Design
88,"It is a simplified representation of asoftware process. Each process represents a process from a particular perspective,and thus provides only partial information about that process.",Software process models
89,It is a system composed of people and computers that processes or interprets information.,Information System
90,"It is a systematic approach to the production ofsoftware that takes into account practical cost, schedule, and dependabilityissues, as well as the needs of software customers and producers.",Software Engineering
91,It is a traditional practice that the review of related literature is divided into foreign and local.,True
92,It is a very basic check to see if all softwarecomponents compile with each other without a problem.,Sanity Testing
93,"It is also known as a bug, is a result of an error which can cause system to fail.",Fault
94,It is carried out to test functionality of the program and also called ‘Behavioral’ testing.,Black-box Testing
95,"It is conducted to test program and its implementation, in order to improvecode efficiency or structure. It is also known as ‘Structural’ testing.",White-box Testing
96,"It is considered to be a collection of executable programming code, associated libraries and documentations made for a specific purpose.",software product
