No.,Question,Correct Answer
1,_________________________________. It is purely qualitative in nature and we are focusing on the vision of others on the content of research.,Philosophical Research
2,A computer program that can be used to automate procedures in applications such as word-processing software.,Macro
3,"A document that argues the case for the importance of your idea, to encourage a publisher to contract you to develop your idea into a book.",Book Proposal
4,"A sequential listing of all major parts of a thesis with corresponding page numbers. Included in the table of contents are the titles of chapters, sections and subsections, bibliography and appendices",table of contents
5,A space character that prevents a line break being automatically inserted at its position.,Non-breaking space
6,A specialist editor in the field of academic editing.,Academic Editor
7,"A symbol added to a letter that affects its pronunciation, such as the various accents in foreign words.",Diacritic
8,"A vague, disorganized, or error-filled introduction will create a _____ impression",negative
9,"A vague, disorganized, or error-filled introduction will create a positive impression.",False
10,"A well-written introduction is important because, quite simply, you never get a second chance to make a good first impression.",True
11,Adjusting the spacing between (characters) in a piece of text to be printed.,Kerning
12,"All of the following are characteristics of research, EXCEPT:",Research not requires expertise.
13,"All the following are definitions of research, EXCEPT:",Research is considered to be the more informal process of carrying on the scientific method of analysis.
14,"All the following are examples of longitudinal research, EXCEPT:",Survey Research
15,Basic/ Fundamental /pure or Theoretical Research: Its utility is universal.,True
16,Capstone Editing’s guarantee to our clients that they will be satisfied with the quality of our work.,Quality Guarantee
17,Closed-ended questions,Gove options that the respondent must choose
18,Consistent use of a grammatical form for equal clauses within a sentence or for items in a list.,Parallel Structure
19,Data collection method entails using tests.,Testing Method
20,Examples of this category are Experimental and Survey Research.,Cross-Sectional Research
21,Experimental or Applied Research: Its utility is limited.,True
22,"For format on the writing of references, research papers in IT, Computer Science, and Engineering must use the ______ citation and referencing style.",IEEE
23,"If at first glance of a non-expert judge, the test seems to measure what it intends to measure",Face Validity
24,If the test contains all of the pertinent components of the variable it wants to measure,Content validity
25,"In order for field research to be successful, the researcher must be _________________________.",creative
26,"Included in the thesis abstract are the ff., EXCEPT:",introduction
27,Introduction is composed of _______ paragraphs with three to five pages.,narrative
28,Introduction provides a brief background or the ___ of the study.,rationale
29,Is a questionnaire asked in a one-on one situation.,Interview Method
30,Is a self-report data collection instrument.,Questionnaire
31,"Is an activity of a sentient living being (e.g. humans), which senses and assimilates the knowledge of a phenomenon in its framework of previous knowledge and ideas.",Observation Method
32,"Is an in-depth, longitudinal examination of a single instance or event, called a case.",Case Study Method
33,is as a works cited or reference list.,Bibliography
34,Is used to prove causality.,Experiment Method
35,It deals with unusual events. It may be qualitative as well as quantitative in nature depending upon the content.,Case-Study Research
36,It is both qualitative as well as quantitative in nature and deals with past events.,Historical Research
37,"List of Abbreviations and Symbols are list of charts, graphs, maps and other illustrations used in the thesis.",False
38,Open-ended questions,Do not give options that the respondent must choose
39,"pertains to articles and books written by authorities giving their opinions, experiences, theories or ideas.",Conceptual Literature
40,pertains to published reports of actual research studies done previously.,Research Literature
41,Qualitative Research is used to quantify the problem by way of generating numerical data or data that can be transformed into usable statistics.,False
42,"Quantitative Research. It is used to gain an understanding of underlying reasons, opinions, and motivations.",False
43,Refers to how much it measures what it is designed to measure.,Construct validity
44,refers to the consistency of a measure,reliability
45,Research is ______________.,Working in a scientific way to search for truth of any problem
46,"Research papers in Business, Accountancy, Education, Arts and Sciences must use the ______ citation and referencing style.",APA
47,Research strategies should not be combined.,False
48,Scope and Limitation section sets _________ of the study,parameters
49,Select the following questions that will be answered if you have good introduction in your research. Select whichever applies.,What did we know about this research before I did this study?
50,showcases previous studies and publications relevant to the thesis.,Review of related literature
51,sources are best and purest; they are the closest from the point of origin,primary
52,"sources, are reports of a person who relates the testimony of an actual witness or participant.",secondary
53,"Tables should be numbered in sequence, using Roman numerals.",False
54,The ______ sources are compiled from or based on secondary sources.,Tertiary
55,"The abstract should not be less than ________ words but not to exceed 500 words, and should be typed single-spaced.",200
56,The essential qualities of a researcher are ____________.,All the above
57,"The ff. are the contributors of the definition of research, Except.",John W. Woody
58,The introduction is the second chapter of the thesis and must include the objective/s and justification of the study as well as the limitations set by the proponent.,False
59,The main aim of research is to find out the truth which is hidden and which has not been discovered as yet.,True
60,The observer is part of the scene being observed.,Participant Observation
61,The opening paragraph of your paper will provide your readers with their initial impressions about the:,all of the above
62,"The quality of writing that allows it to sound natural, with a rhythm that is easy to read or listen to.",Flow
63,"The questionnaire should not be bulky, too long or too thick.",True
64,The space between lines of type.,Leading
65,The statement of the problem is the ______ of the proposal/paper.,backbone
66,"The test is compared to another, valid, test to see if it measures the same thing",Criterion-related validity
67,These sections recognize persons and organizations who/which assisted the proponents in the completion of the thesis.,dedications and acknow ledgements
68,This is a presentation of the thesis summary,abstract
69,This is purely quantitative in nature and deals with future events.,Experimental Research
70,This means watching and recording behavior in its natural setting.,Naturalistic Observation
71,"This page bears the name of the proponent/s and title of the thesis, together with the signature of the adviser, college dean and members of the oral defense panel.",Approval Sheet
72,"This page contains the title of the research, name of proponents and a statement regarding the qualification for which the research is submitted.",title page
73,This part provides a brief background or the rationale of the study.,introduction
74,This section is optional. All abbreviations used in the thesis are listed for easy reference of the reader.,List of Abbreviations and Symbols
75,this section sets parameters of the study,Scope and limitation
76,this section summarizes what is to be achieved by the study.,Objectives of the study
77,Used to assess the consistency of a measure from one time to another.,Test retest reliability
78,Used to assess the consistency of results across items within a test.,Internal consistency reliability
79,Used to assess the degree to which different raters/observers give consistent estimates of the same phenomenon.,Inter-rater reliability
80,Which statementis true?,The Interviewer should record interviews.
81,Word ‘Research’ is comprises of two words = Re+Search. It means to ____________,search again
82,Your own beliefs and feelings will never impact upon your research.,False
