No.,Question,Correct Answer
1,____ are excellent tools for building both the data and the models that decision support systems need.,Spreadsheets
2,____ are the main reasons behind the slow adoption of new forms of electronic payments.,Security concerns
3,"____ includes cookies and other, more sophisticated applications that are installed on your computer unbeknownst to you and transmit information about you while you are online.",Spyware
4,____ is a methodology of solving a new problem established on the solutions of similar problems.,Case-based reasoning
5,____ is a security measure in which users are required to identify themselves only once before accessing several different systems which are linked through a network.,SSO (single sign-on)
6,____ is a tool used to translate MS-Word documents to multiple languages.,Wordfast
7,____ is meant to guarantee that the experts have passed tests that ensure their skills.,Certification
8,____ often help ensure that a user does not receive the same unsolicited information multiple times.,Cookies
9,____ service is usually the most expensive of hosting options.,Co-location
10,"____ software closely conforms to an individual unit's subculture, which makes the transition to a new system easier for employees.",User-developed
11,_____ are applications that combine features of two or more online applications.,Mashups
12,"_____ are entered to manipulate data, including adding, deleting, and updating data.",Queries
13,_____ enables business partners to set standards for data formats in Web pages.,XML
14,_____ enables managers to see summaries and ratios of the intersection of any two dimensions in a database.,OLAP
15,"_____ encryption is defined as encryption that comprises two keys: a public key, and a private key.",Asymmetric
16,"_____ has fewer restrictions on storage space and transactions, and since only one site resides on the disks, no other site can affect its functionality.",Dedicated hosting
17,_____ helps the users know what they can find and analyze in the data warehouse.,Metadata
18,"_____ include ERP, SCM, and CRM applications and typically cost millions of dollars.",Enterprise software applications
19,"_____ involves high volumes of data compiled from traditional, ordinary business activities, as well as newer, nontraditional sources.",Big Data
20,_____ is a set of processes and methods used by project managers to determine which projects will meet the organization's operational and financial goals in relation to its strategic objectives as well as the needs of its customers.,Project portfolio management
21,_____ is a traditional approach to systems development.,SDLC
22,"_____ is independent of particular programming languages, but it does provide standard visual symbols and notations for specifying object-oriented elements, such as classes and procedures.",Unified Modeling Language (UML)
23,_____ is one of the primary languages used to compose and retrieve web pages and support the presentation of pictures with marked areas.,XML
24,_____ is the term for any unsolicited commercial email.,Spam
25,_____ should first be done to decide which data should be collected and how it should be organized.,Data modeling
26,_____ software records individual keystrokes.,Keylogging
27,_____ transfers visitor inquiries from a busy server to a less busy server for identical information and services.,Load balancing
28,"______ allow Internet access to anyone within range who uses a wireless-equipped device, provided logging in is not limited by controlled access codes.",Hotspots
