Question,Answer
"__ is the obligation of every member of AMAES, and breaches of academic integrity constitute serious offenses.",ETHICAL CONDUCT
Consistent use of a grammatical form for equal clauses within a sentence or for items in a list.,Parallel Structure
To determine the status of the teaching of science.,General purpose
"A vague, disorganized, or error-filled introduction will create a __ impression.",NEGATIVE
"If at first glance of a non-expert judge, the test seems to measure what it intends to measure",Face validity
"Beneficiary is a person who derives advantage from something, especially a trust, will, or life insurance policy.",True
"The questionnaire should not be bulky, too long or too thick.",True
"Submitting another author's published or unpublished work, in whole, in part, or in paraphrase, as one's own work, without fully and properly crediting the other author with footnotes, citations or other bibliographical reference.",Plagiarism
Research is purposive and from the onset it must be clearly defined.,True
"The ff. are the contributors of the definition of research, Except.",John W. Woody
Your own beliefs and feelings will never impact upon your research.,False
A computer program that can be used to automate procedures in applications such as word-processing software.,Macro
"Technical background reports. This type is the hardest one to define but the one that most people write. It focuses on a technical topic, provides background on that topic for a specific set of readers who have specific needs for it.",True
High schools of province A.,Locale of the study
"This is taking the words, ideas, data, illustrations or statements of another person or source and presenting them as one's own.",PLAGIARISM
"When a student reaches senior standing, he/she becomes eligible to enroll in Thesis A.",True
A statement of the problem is used in research work as a claim that outlines the problem addressed by a study.,True
Used to assess the consistency of a measure from one time to another.,Test-Retest Reliability
Adjusting the spacing between (characters) in a piece of text to be printed.,Kerning
It is both qualitative as well as quantitative in nature and deals with past events.,Historical Research
"The test is compared to another, valid, test to see if it measures the same thing",Criterion-related validity
Refers to how much it measures what it is designed to measure.,Construct Validity
"The background study for a thesis includes a review of the area being researched, current information surrounding the issue, previous studies on the issue, and relevant history on the issue. Ideally, the study should effectively set forth the history and background information on your thesis problem.",True
This section is optional. All abbreviations used in the thesis are listed for easy reference of the reader.,List of Abbreviations and Symbols
this section sets parameters of the study,scope and limitation
Which statement is true?,The Interviewer should record interviews.
Closed-ended questions,give options that the respondent must choose.
This is an assistance or an attempt to assist another student in an act of academic dishonesty.,Collusion
"Use of books, notes, calculators, Internet, communication or collaboration with others, which has not been authorized by the faculty member.",cheating
"Is an activity of a sentient living being (e.g. humans), which senses and assimilates the knowledge of a phenomenon in its framework of previous knowledge and ideas.",Observation Method
Categories of notes are: Paraphrases,– researcher restates the author's words in his/her own words
"In Scope and Limitation, it answers the questions: what",coverage of the study
"The abstract should not be less than __ words but not to exceed 500 words, and should be typed single-spaced.",200
__ sources are best and purest; they are the closest from the point of origin,primary
"Project objectives are what you plan to achieve by the end of your project. This might include deliverables and assets, or more intangible objectives like increasing productivity or motivation. Your project objectives should be attainable, time-bound, specific goals you can measure at the end of your project.",True
__ undergraduate thesis/dissertation involves faculty's supervision and support extended to the students for the completion of their research or thesis requirement needed for the fulfillment of a degree,MENTORING
"List of Abbreviations and Symbols are list of charts, graphs, maps and other illustrations used in the thesis.",False
A space character that prevents a line break being automatically inserted at its position.,Non-breaking space
The statement of the problem is the __ of the proposal/paper.,BACKBONE
The observer is part of the scene being observed.,Participant Observation
The essential qualities of a researcher are ____________.,All the above
"Included in the thesis abstract are the ff., EXCEPT:",introduction
"Capstone Project also called a capstone experience, culminating project, or senior exhibition, among many other terms, a capstone project is a multifaceted assignment that serves as a culminating academic and intellectual experience for students",True
This means watching and recording behavior in its natural setting.,Naturalistic Observation
Data collection method entails using tests.,Testing Method
The main aim of research is to find out the truth which is hidden and which has not been discovered as yet.,True
"For example, measuring intelligence in Grade 5 students.",To evaluate
"A document that argues the case for the importance of your idea, to encourage a publisher to contract you to develop your idea into a book.",BOOK PROPOSAL
"Research is part of the Bachelor's Curricula. This is linked together in response to an academic assignment and in conducting a major _______________ – thesis, dissertation, capstone, and design project.",research project
Cross-disciplinary thesis or design projects will be subjected for approval of the Academic Affairs Department.,True
This is purely quantitative in nature and deals with future events.,Experimental Research
"This page contains the title of the research, name of proponents and a statement regarding the qualification for which the research is submitted.",TITLE PAGE
Used to assess the consistency of results across items within a test.,Internal Consistency Reliability
"In Scope and Limitation, it answers the questions: when",time conducted
"Quantitative Research. It is used to gain an understanding of underlying reasons, opinions, and motivations.",False
"In Scope and Limitation, it answers the questions: who",persons who were involved
Experimental or Applied Research: Its utility is limited.,True
"This page bears the name of the proponent/s and title of the thesis, together with the signature of the adviser, college dean and members of the oral defense panel.",Approval Sheet
"Is an in-depth, longitudinal examination of a single instance or event, called a case.",Case Study Method
pertains to published reports of actual research studies done previously.,Research Literature
Teachers and students,Population or universe
Word 'Research' is comprises of two words = Re+Search. It means to __.,SEARCH AGAIN
_________________________________. It is purely qualitative in nature and we are focusing on the vision of others on the content of research.,Philosophical Research
The teaching of science.,Subject matter
"The quality of writing that allows it to sound natural, with a rhythm that is easy to read or listen to.",FLOW
This is a final project meant to encapsulate all things learned in the IT and IS program of study.,CAPSTONE PROJECT
"Project scope is the part of project planning that involves determining and documenting a list of specific project goals, deliverables, tasks, costs and deadlines. The scope statement also provides the team with guidelines for making decisions about change requests during the project.",True
"Research papers in Business, Accountancy, Education, Arts and Sciences must use the __ citation and referencing style.",APA
Research strategies should not be combined.,False
The opening paragraph of your paper will provide your readers with their initial impressions about the:,all of the above
A specialist editor in the field of academic editing.,ACADEMIC EDITOR
__ refers to the consistency of a measure.,RELIABILITY
"Related literature is composed of discussions of facts and principles to which the present study is related. The materials are usually printed and found in books, encyclopedias, professional journals, magazines, newspapers, and other publications.",True
