No.,Question,Correct Answer
1,_____________ has a positive charge.,Proton
2,_____________ is the maintainer of a constant potential difference.,EMF
3,_______________ has a zero charge.,Neutron
4,________________ is a wire that has a metal tipped wand.,Probe
5,_________________ is a rate at which work is done and it is the rate at which energy is transferred.,Power
6,___________________ has a Negative charge.,Negative
7,___________________ IS ALSO CALLED A LOWER POTENTIAL TERMINAL.,NEGATIVE
8,___________________ may also referred to as the specific electrical resistance.,Resistivity
9,____________________ Is an electronic device for temporary storage of electrical energy.,Capacitor
10,______________________ can be created by accelerating charges and moving charges.,Electromagnetic waves
11,'n' is the index of refraction of a transparent medium.,True
12,"""F"" stands for Electric Force ?",False
13,"""R"" stands for ?",Resistance
14,"""V"" symbol is for ?",Voltage
15,3.00 x 10 raise to 8 m/s is the speed of light in vacuum.,True
16,400-700 nm is the wavelength of ultraviolet .,False
17,A circuit can't be function without capacitor.,False
18,"A circuit can""t function without a resistors ?",False
19,A circuit cannot be function without a source or power.,True
20,A circuit cannot functions without a source.,True
21,A circuit has always a Ground.,True
22,A close conducting Path through which charge flows.,Circui
23,A function of space whose value at each point is a vector quantity called?,Vector Field
24,A law stating that Electric current is Proportional to voltage and inversely Proportional to resistance.,Ohm's Law
25,A perfect secret has composed of resistors and no source.,False
26,A Resistor is a poor conductor ?,yes
27,A voltmeter is connected Series in a resistors to measure voltage.,False
28,A voltmeter is consist of a box with two wires a positive and a negative.,True
29,Ammeter and Voltmeter are considered device used in a circuit.,True
30,Ammeter and Voltmeter that measures charges.,False
31,Ammeter device used to measure Current.,True
32,Ammeter is connected in parallel with a device to measure it's current.,False
33,Ammeter is connected in series with a device to measure it's voltage.,False
34,Ammeter is connected parallel in a device.,True
35,Ammeter is used to measure Current.,True
36,Ammeter is used to measure Voltage.,False
37,Ampere is the unit of Voltage in a certain current.,False
38,An object can have positive and Negative charge.,True
39,Capacitor is a device used to store an Electric charge.,True
40,Capacitor is also called Positive charges.,False
41,Capacitor is an electronic circuit device for temporary storage of electrical energy.,True
42,Capacitor is for Ohm and Resistance is for Capacitance.,False
43,Capacitor is store energy between the spaces of the plates and they energy is used to generate high form of electric current.,True
44,Capacitors in parallel is the same as Resistors in series.,True
45,Capacitors is the opposition to current flow in an electrical circuit.,False
46,Circuit is a closed conducting path through with charge flow.,True
47,"Circuits consists of circuit element and wires, the wires are called conductors.",True
48,"Circuits consists of circuit element and wires, the wires are called?",Conductors
49,Circuits is a open conducting path through charge flows.,False
50,"Circuits is consists of circuit elements and wires, the wires is called _________ ?",Conductors
51,Closed loop is also Called a circuit.,True
52,Conductors consists of a ___________ amount of positive charge.,huge
53,Conductors is a material that permits an _____________ to flow easily.,electric current
54,Conductors is a material that permits an electric current to flow easily.,True
55,Conductors is made of two close conductors that are separated by a dieletric material.,False
56,Coulomb's Law stating that charges repel and opposite charges attract.,True
57,Current : AMPERE ; Resistance : ___________.,OHM
58,Current is measured in ?,Ampere
59,Current is measured in Amperes.,True
60,"Current is not the flow of charges, it is the rate of flow of charges.",True
61,Electric charge is composed of ?,"Positive , Negative"
62,Electrowaves is an example of Conductors.,False
63,EMF is also called a power source.,True
64,EMF stands for ?,Electromotive Force
65,EMF stands for electromotive force,True
66,Energy is a rate at which work is done and it is the rate at which Energy transferred.,False
67,FIND C TOTAL IF c1=5 AND c2=10. (CONNECTED PARALLEL),15
68,Find I if P=6 and V=1.,6
69,"Find I if R= 3 ohms, V= 6 volts.",2 Amperes
70,"Find I if V= 3, and R=4.",0.75
71,"Find I if V=5 volts, R = 2.",2.5
72,Find P if I= 3A and V=3V.,9
73,Find P if I=1 and V= 2.,2
74,Find P if I=6A and V=3V.,18Watts
75,"Find R if I= 16, V=4.",0.25
76,"Find R if V= 4 volts, I= 10 amperes.",0.4
77,"Find R if V= 6 volts, I= 1 ampere.",6
78,Find R if V=10 and I=2.,5ohm
79,"Find R is V=10, I=0.5.",20
80,"Find R total if the resistors are connected in series. Given 4 ohm,9 ohm, 10 ohm, 12 ohm, 16 ohm ,15 ohm.",66
81,"Find R total if the resistors are in Parallel. Given : 2 ohm, 3 ohm, 4 ohm.",0.923
82,"Find R total if the resistors connected in a series, The value of R1= 6, R2= 3, R4=5, R5=5, R6=6.",25
83,"Find the total capacitance if they are connected in parallel (C1=3 , C2 =5 , C3=6.",14
84,"Find the total capacitance,which they are in parallel connections the values are C1=1, C2=2, C3=3.",6
85,"Find the total resistor if R1, R2, R3 and R4 is connected in series and there value is 2 ,4 ,6 ,8 respectively.",20
86,Find V if I=2 and P=22,11
87,Find V if I=3 and R=5.,15
88,Find V if I=4 and R= 3,12
89,Find V if I=5 and P=4.,0.8
90,Find V if P=3 and I=2.,1.5
91,"Find V if R= 3 ohm, and I=6 ampere.",18
92,"Find V is R=3, and I= 2.",6
93,Frequency can be measured through the used of Voltmeter.,False
94,Gamma rays has the frequency of < 50 000 000 THz.,False
95,If the current flow is counter clockwise the current is considered __________ ?,negativ
96,If the flow of current is downward the current is considered __________________.,negative
