No.,Question,Correct Answer
1,_______ : assuring that authorized users have continued access to information and resources,Availability
2,_______ is a weakness or fault in a system that exposes information to attack.,Vulnerability
3,________ :assuring that information and programs are changed only in a specified and authorized manner.,Integrity
4,"_________ are the mechanisms and techniques—administrative, procedural, and technical—that are instituted to implement a security policy",Management controls
5,___________________ or security ratings are the cyber equivalent of a credit score.,Cybersecurity ratings
6,__________:controlling who gets to read information,Confidentiality
7,20 different risk markers grouped under five main categories,"Security, Medical, Political, Environmental and Infrastructural Risks"
8,"A ______ is a concise statement, by those responsible for a system (e.g., senior management), of information values, protection responsibilities, and organizational commitment.",security policy
9,"A ______ that must be restored within an hour after disruption represents, and requires, a more demanding set of policies and controls than does a similar system that need not be restored for two to three days.",system
10,a data endowed with relevance and purpose.,Information
11,A major conclusion of this report is that the lack of a clear_____of security policy for general computing is a major impediment to improved security in computer systems.,articulation
12,"a variety of ongoing measures taken to reduce the likelihood and severity of accidental and intentional alteration, destruction, misappropriation, misuse, misconfiguration, unauthorized distribution, and unavailability of an organization’s logical and physical assets, as the result of action or inaction by insiders and known outsiders, such as business partners.”",Personnel security
13,"Accepted facts, principles, or rules of thumb that are useful for specific domains.",Knowledge
14,"According to _____ , IA can be thought of as protecting information at three distinct levels.",Blyth and Kovacich
15,According to _______ IA has four major categories: physical security personnel security IT security operational security.,Debra Herrmann
16,"According to ______taxonomy of information security, a computing environment is made up of five continuously interacting components",Raggad’s
17,Always closely guard their personal effects when it comes to identity theft.,True
18,"An _____ must have administrative procedures in place to bring peculiar actions to the attention of someone who can legitimately inquire into the appropriateness of such actions, and that person must actually make the inquiry.",organization
19,"An effective ________ controls is needed to cover all aspects of information security, including physical security, classification of information, the means of recovering from breaches of security, and above all training to instill awareness and acceptance by people.",program of management
20,"As viruses have escalated from a hypothetical to a commonplace threat, it has become necessary to rethink such policies in regard to methods of distribution and acquisition of",software
21,assurance that information is not disclosed to unauthorized persons.,Confidentiality
22,"assurance that the sender is provided with proof of a data delivery and recipient is provided with proof of the sender’s identity, so that neither can later deny having processed the data.",Non-repudiation
23,"Because ratings are easy to understand, they are a useful mechanism for ____________________ and vendor risk to a non-technical audience in the C-suite, boardroom, or with the vendor in question.",communicating internal
24,Both individuals need to know what data is most critical to the organization so they can focus on placing the right ____________________ and monitoring controls on that data.,cyber risk management
25,"Business partners and investors are increasingly aware of the importance of this topic, and companies are asked regularly about their effectiveness in securing data and managing both ___________________.",physical and cyber risk
26,Carrying items makes you more vulnerable targets for criminals.,True
27,Computer security and cybersecurity are both children of ______________________.,information security
28,"Computer security and cybersecurity are completely ___________________, and require digital computer technology from 1946’s ENIAC to now.",interchangeable terms
29,"Computers are ______ entities, and programs can be changed in a twinkling, so that past happiness is no predictor of future bliss.",active
30,Criminals are constantly surveying the environment for an opportunity to commit crimes.,True
31,"Cybersecurity professionals traditionally understand the technology, firewalls, and intrusion protection systems needed, but weren’t necessarily brought up in the ___________________.",data evaluation business
32,Data and data processing activities in physical space.,physical
33,Disruptions in their day-to-day business: Time is money.,True
34,"Early disclosure may jeopardize______ advantage, but disclosure just before the intended announcement may be insignificant.",competitive
